B2,B3,B4,B5,B6,B7,B8,B9,B11,NDVI,lc,random_split,NDBI
0.0443,0.0718,0.0647,0.1058,0.1811,0.2012,0.2156,0.2281,0.1751,0.5383518,1,0.552930810390813,-0.10366009726132583
0.0552,0.0717,0.0794,0.1016,0.169,0.1879,0.2064,0.212,0.2211,0.4443667,1,0.5501223688100706,0.03438596491228068
0.0451,0.0655,0.0766,0.1083,0.1662,0.1821,0.1942,0.1945,0.2318,0.43426883,1,0.4614718557431732,0.08826291079812204
0.03665,0.058,0.05215,0.0892,0.1926,0.2171,0.2249,0.2414,0.16525,0.62353367,1,0.4512041043348325,-0.15288991413558883
0.0566,0.0749,0.0767,0.1099,0.1874,0.2077,0.2178,0.244,0.1998,0.47911716,1,0.3834117060579877,-0.043103448275862044
0.1136,0.1594,0.1618,0.2018,0.2755,0.2941,0.3152,0.2875,0.2876,0.3215933,1,0.3090672307234122,-0.045786330457863234
0.0506,0.0732,0.067,0.1181,0.222,0.2446,0.251,0.2631,0.1982,0.5786163,1,0.2763282666814841,-0.11754229741763138
0.0524,0.08,0.0835,0.1334,0.1747,0.1945,0.2192,0.2257,0.2191,0.44829866,1,0.2657305125155682,-0.00022815423226104663
0.04245,0.0632,0.06235,0.10115,0.19195,0.2159,0.2278,0.21875,0.1824,0.57022226,1,0.2487818258483062,-0.11067771818625059
0.0736,0.099,0.1028,0.1401,0.2103,0.2288,0.2508,0.2462,0.2211,0.41855207,1,0.2361232729099592,-0.06293706293706301
0.0487,0.0711,0.0644,0.1055,0.1877,0.2108,0.2298,0.2274,0.1916,0.5622026,1,0.2342799747705889,-0.09065021357380164
0.0481,0.0693,0.0693,0.1056,0.17595,0.1955,0.2047,0.20295,0.2005,0.49416056,1,0.199130225678255,-0.01036525172754191
0.0361,0.059,0.0513,0.0936,0.1889,0.2166,0.2302,0.2383,0.1747,0.635524,1,0.1855033977604278,-0.13707088169918497
0.0508,0.0784,0.0838,0.1345,0.1911,0.2023,0.2088,0.2464,0.2639,0.42720437,1,0.1753126609978416,0.11656441717791413
0.04395,0.0658,0.06375,0.1074,0.18315,0.20075,0.2193,0.22065,0.19955,0.5495496,1,0.171443690949164,-0.04715291870598064
0.0454,0.063,0.0626,0.0979,0.1747,0.1968,0.2148,0.2174,0.2341,0.5486662,1,0.1620870845107539,0.04299398529739366
0.0512,0.0754,0.0728,0.1115,0.1867,0.2015,0.2234,0.2385,0.1938,0.5084402,1,0.151602755947723,-0.07094918504314474
0.03695,0.0555,0.05315,0.087,0.18975,0.21385,0.2259,0.2349,0.1658,0.6190647,1,0.1217799019228087,-0.15343375031912174
0.0408,0.06155,0.05675,0.09195,0.19875,0.2125,0.2357,0.2513,0.1806,0.6118995,1,0.0826142763190731,-0.1323564736968532
0.0459,0.064,0.06665,0.11225,0.1995,0.2192,0.2353,0.23305,0.20295,0.5585362,1,0.0248984241378127,-0.07381631488876216
0.04045,0.0576,0.05495,0.09325,0.20225,0.2254,0.2432,0.2449,0.18165,0.6313936,1,0.0213583465430831,-0.14487466164528656
0.05,0.0736,0.0744,0.1095,0.1836,0.2031,0.2082,0.2309,0.193,0.4734607,1,0.7937563763292159,-0.03788634097706877
0.0447,0.0662,0.0614,0.1006,0.1585,0.1761,0.1826,0.1911,0.1764,0.49672133,1,0.7869493111779257,-0.017270194986072455
0.0551,0.0773,0.09145,0.11945,0.1843,0.20525,0.2168,0.2407,0.21565,0.40665045,1,0.7489075679481133,-0.002659266967279418
0.04985,0.07245,0.0713,0.1053,0.2023,0.2211,0.2527,0.24295,0.18315,0.55987656,1,0.7112971272219935,-0.15957324767695302
0.0426,0.06455,0.05865,0.09895,0.2413,0.2682,0.2789,0.2665,0.16315,0.6524959,1,0.7052864425315403,-0.26184820721637825
0.04755,0.0657,0.067,0.1044,0.18945,0.21325,0.232,0.23785,0.1997,0.5518395,1,0.6405470416024143,-0.07482047718322915
