B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDBI,MNDWI,BSI,entropy,lc,random_split
0.02765,0.043242104,0.050066665,0.0548,0.08321667,0.1659625,0.1934,0.20508,0.2115,0.2389,0.142,0.0881,0.5782669,-0.19660537,-0.47865328,-0.11574824,3.4646712616158406,0,0.9894438868012514
0.02518889,0.033,0.056333333,0.0485,0.102525,0.26285,0.32095,0.34626666,0.3474,0.302725,0.199575,0.10876667,0.7542852,-0.27025914,-0.5597382,-0.20912312,3.5773076784568323,0,0.9892927220089216
0.05857,0.0584575,0.08227083,0.09552381,0.12945333,0.172575,0.19362,0.20538333,0.20958333,0.2144889,0.22925,0.19414286,0.36509442,0.044815812,-0.47181168,0.103519306,3.5491485742465847,0,0.9891669053799844
0.057114284,0.097392306,0.13112,0.14362778,0.15213333,0.231025,0.2635286,0.2929,0.27893335,0.283325,0.19027142,0.141575,0.34195355,-0.18896212,-0.18404794,-0.07787043,3.4646712616158406,0,0.9890942199260648
0.0699,0.0428,0.0643,0.0625,0.103,0.2076,0.2425,0.2445,0.2595,0.2887,0.1759,0.1196,0.5928339,-0.19200735,-0.4646128,-0.09301884,3.4646712616158406,0,0.9890363962390976
0.0882,0.08133333,0.10305833,0.11912222,0.1708875,0.21113333,0.22955,0.241925,0.23826666,0.2227375,0.1920225,0.15455,0.3401294,-0.107472286,-0.30149084,-0.019094499,3.46467126161584,0,0.9888945474330668
0.03345,0.0359625,0.0593625,0.0439625,0.1006,0.23744,0.2822,0.3168,0.3112,0.30006668,0.15286666,0.08154,0.7562801,-0.3411866,-0.4405811,-0.2837258,3.4646712616158406,0,0.98889321199932
0.0101,0.0148,0.0372,0.0304,0.0716,0.2006,0.2417,0.2718,0.2576,0.2553,0.1579,0.0862,0.79880875,-0.23995186,-0.6186571,-0.20699094,3.5686433386998333,0,0.9886910606291724
0.034,0.0311,0.0577,0.0611,0.0997,0.1891,0.2157,0.21375,0.24395,0.2662,0.2022,0.1468,0.5553939,-0.09357839,-0.55598307,0.03630816,3.4646712616158406,0,0.9883298349726342
0.0372,0.0904,0.1128,0.1123,0.12765,0.18325,0.20375,0.2728,0.2123,0.2187,0.1322,0.10745,0.41677487,-0.23251088,-0.079183675,-0.19532664,3.443010412223342,0,0.9882527595461704
0.03401818,0.03964,0.059725,0.06431667,0.12095,0.17745,0.1938,0.17992,0.210025,0.221975,0.214925,0.155875,0.47332504,0.011530788,-0.56508285,0.1196501,3.4646712616158406,0,0.987907221571016
0.0163,0.0243,0.0388,0.0351,0.0615,0.167,0.2032,0.2192,0.2152,0.2259,0.1054,0.0545,0.72394806,-0.34248284,-0.46185854,-0.26822916,3.4646712616158406,0,0.9878798068088768
