B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,entropy,lc,random_split
0.0572,0.0506,0.0732,0.067,0.1181,0.222,0.2446,0.251,0.2595,0.2631,0.1982,0.1463,0.5786163,3.5773076784568323,1,0.2763282666814841
0.0545,0.0524,0.08,0.0835,0.1334,0.1747,0.1945,0.2192,0.2058,0.2257,0.2191,0.1747,0.44829866,3.5686433386998333,1,0.2657305125155682
0.03685,0.04245,0.0632,0.06235,0.10115,0.19195,0.2159,0.2278,0.23305,0.21875,0.1824,0.12245,0.57022226,3.369363524288848,1,0.2487818258483062
0.0563,0.0736,0.099,0.1028,0.1401,0.2103,0.2288,0.2508,0.2484,0.2462,0.2211,0.1721,0.41855207,3.5686433386998333,1,0.2361232729099592
0.0463,0.0487,0.0711,0.0644,0.1055,0.1877,0.2108,0.2298,0.2235,0.2274,0.1916,0.1425,0.5622026,3.4603390917373407,1,0.2342799747705889
0.03295,0.0481,0.0693,0.0693,0.1056,0.17595,0.1955,0.2047,0.21775,0.20295,0.2005,0.14135,0.49416056,3.490664280886839,1,0.199130225678255
0.0387,0.0361,0.059,0.0513,0.0936,0.1889,0.2166,0.2302,0.231,0.2383,0.1747,0.118,0.635524,3.566477253760583,1,0.1855033977604278
0.0636,0.0508,0.0784,0.0838,0.1345,0.1911,0.2023,0.2088,0.234,0.2464,0.2639,0.2127,0.42720437,3.5773076784568323,1,0.1753126609978416
0.038,0.04395,0.0658,0.06375,0.1074,0.18315,0.20075,0.2193,0.2228,0.22065,0.19955,0.14355,0.5495496,3.4386782423448428,1,0.171443690949164
0.0436,0.0454,0.063,0.0626,0.0979,0.1747,0.1968,0.2148,0.2211,0.2174,0.2341,0.1561,0.5486662,3.557812914003584,1,0.1620870845107539
0.0479,0.0512,0.0754,0.0728,0.1115,0.1867,0.2015,0.2234,0.2204,0.2385,0.1938,0.145,0.5084402,3.456006921858841,1,0.151602755947723
0.0334,0.03695,0.0555,0.05315,0.087,0.18975,0.21385,0.2259,0.2339,0.2349,0.1658,0.11515,0.6190647,3.460339091737341,1,0.1217799019228087
0.0348,0.0408,0.06155,0.05675,0.09195,0.19875,0.2125,0.2357,0.23235,0.2513,0.1806,0.12445,0.6118995,3.4646712616158406,1,0.0826142763190731
0.0435,0.0459,0.064,0.06665,0.11225,0.1995,0.2192,0.2353,0.2396,0.23305,0.20295,0.14595,0.5585362,3.5773076784568323,1,0.0248984241378127
0.05475,0.04045,0.0576,0.05495,0.09325,0.20225,0.2254,0.2432,0.24555,0.2449,0.18165,0.1206,0.6313936,3.460339091737341,1,0.0213583465430831
0.0466,0.05,0.0736,0.0744,0.1095,0.1836,0.2031,0.2082,0.2286,0.2309,0.193,0.1442,0.4734607,3.5773076784568323,1,0.7937563763292159
0.0489,0.0447,0.0662,0.0614,0.1006,0.1585,0.1761,0.1826,0.1921,0.1911,0.1764,0.1305,0.49672133,3.5686433386998333,1,0.7869493111779257
0.04465,0.0551,0.0773,0.09145,0.11945,0.1843,0.20525,0.2168,0.22415,0.2407,0.21565,0.1584,0.40665045,3.559978998942833,1,0.7489075679481133
0.0382,0.04985,0.07245,0.0713,0.1053,0.2023,0.2211,0.2527,0.2503,0.24295,0.18315,0.13235,0.55987656,3.542650319428835,1,0.7112971272219935
0.03635,0.0426,0.06455,0.05865,0.09895,0.2413,0.2682,0.2789,0.284,0.2665,0.16315,0.1041,0.6524959,3.4646712616158406,1,0.7052864425315403
0.05785,0.04755,0.0657,0.067,0.1044,0.18945,0.21325,0.232,0.2293,0.23785,0.1997,0.14565,0.5518395,3.5166573001578367,1,0.6405470416024143
0.0372,0.04375,0.0673,0.0616,0.11065,0.1845,0.2025,0.2026,0.22145,0.22125,0.1807,0.1397,0.5336866,3.5773076784568323,1,0.6252438603088795
0.03015,0.0355,0.0563,0.0462,0.08445,0.18275,0.20355,0.2178,0.22235,0.23225,0.152,0.09185,0.65000004,3.4538408369195914,1,0.6087177947854179
0.04,0.0435,0.0589,0.0592,0.091,0.1746,0.1939,0.2072,0.2215,0.2176,0.1817,0.1285,0.5555556,3.440844327284093,1,0.5018663161345085
0.0392,0.043,0.0678,0.0664,0.11,0.1951,0.2182,0.2282,0.2346,0.2403,0.1759,0.1266,0.5492193,3.4949964507653384,1,0.4749889864109942
0.0369,0.0483,0.0729,0.0758,0.11585,0.19745,0.21855,0.2308,0.23745,0.23455,0.19025,0.1362,0.50554466,3.453840836919592,1,0.4497673751280037
0.04,0.0438,0.0616,0.0624,0.094,0.1823,0.2071,0.211,0.2231,0.2176,0.1906,0.1356,0.543526,3.5686433386998333,1,0.4480780960133803
0.034,0.0405,0.0619,0.0531,0.0892,0.18335,0.20505,0.2211,0.2239,0.21985,0.1704,0.1129,0.61269146,3.4603390917373407,1,0.4276467265643291
0.0475,0.0664,0.0875,0.1028,0.1267,0.1952,0.2154,0.2282,0.2405,0.2281,0.2185,0.1712,0.37885198,3.5686433386998333,1,0.3821094375143358
0.03365,0.0564,0.0783,0.0838,0.11105,0.19215,0.21595,0.2302,0.23805,0.2345,0.1846,0.11835,0.46624202,3.4646712616158406,1,0.3122501446664131
0.0382,0.049,0.0692,0.07575,0.1061,0.1703,0.1841,0.187,0.19785,0.20025,0.2179,0.1666,0.4234063,3.4646712616158406,1,0.3110905760044508
0.0442,0.0546,0.0756,0.0762,0.1111,0.1779,0.1981,0.2036,0.2148,0.2177,0.2042,0.1484,0.45532525,3.4646712616158406,1,0.276293618462311
